Date,Open,High,Low,Close,Adj Close,Volume
9/3/2003,615,675,605,675,383.379333,43162500
9/4/2003,690,750,675,685,389.059174,82850000
9/5/2003,685,700,680,690,391.898865,24055000
9/8/2003,690,690,665,680,386.219269,18007500
9/9/2003,680,680,660,665,377.699677,14075000
9/10/2003,660,660,640,640,363.500366,14190000
9/11/2003,640,645,640,640,363.500366,7087500
9/12/2003,645,670,645,660,374.859833,15392500
9/15/2003,660,665,645,650,369.179993,9137500
9/16/2003,655,665,655,665,377.699677,8705000
9/17/2003,670,670,660,665,377.699677,8890000
9/18/2003,660,660,655,660,374.859833,5075000
9/19/2003,660,660,660,660,374.859833,1787500
9/22/2003,660,660,660,660,374.859833,0
9/23/2003,660,665,655,660,374.859833,7242500
9/24/2003,665,665,665,665,377.699677,5100000
9/25/2003,665,680,665,670,380.53949,13552500
9/26/2003,670,670,660,665,377.699677,9102500
9/29/2003,665,665,655,660,374.859833,2212500
9/30/2003,665,675,665,670,380.53949,14197500
10/1/2003,670,675,665,665,377.699677,2340000
10/2/2003,670,670,665,670,380.53949,16442500
10/3/2003,670,670,665,665,377.699677,12162500
10/6/2003,665,665,660,660,374.859833,13135000
10/7/2003,665,665,660,665,377.699677,7335000
10/8/2003,665,665,660,660,374.859833,15170000
10/9/2003,660,660,660,660,374.859833,17857500
10/10/2003,665,665,655,655,372.019897,6077500
10/13/2003,660,660,655,660,374.859833,1145000
10/14/2003,660,665,660,660,374.859833,9725000
10/15/2003,660,660,650,650,369.179993,12750000
10/16/2003,655,655,650,650,369.179993,7362500
10/17/2003,655,655,650,655,372.019897,11207500
10/20/2003,655,655,650,650,369.179993,8195000
10/21/2003,650,650,650,650,369.179993,7077500
10/22/2003,650,650,640,640,363.500366,8332500
10/23/2003,640,640,620,620,352.141052,18522500
10/24/2003,630,650,630,645,366.340363,4672500
10/27/2003,645,650,640,645,366.340363,6855000
10/28/2003,650,655,640,645,366.340363,11830000
10/29/2003,640,640,630,635,360.660522,7225000
10/30/2003,635,635,620,625,354.980835,6600000
10/31/2003,625,645,625,645,366.340363,21720000
11/3/2003,640,640,635,640,363.500366,4307500
11/4/2003,640,655,640,650,369.179993,14200000
11/5/2003,650,650,640,640,363.500366,6282500
11/6/2003,640,645,640,645,366.340363,4260000
11/7/2003,645,650,645,650,369.179993,10940000
11/10/2003,645,660,645,660,374.859833,8895000
11/11/2003,655,660,650,660,374.859833,13595000
11/12/2003,660,665,655,655,372.019897,12485000
11/13/2003,645,645,640,645,374.341431,9012500
11/14/2003,640,645,640,640,371.439545,2102500
11/17/2003,640,640,635,635,368.53772,4522500
11/18/2003,630,635,630,635,368.53772,3337500
11/19/2003,630,630,625,630,365.635742,6865000
11/20/2003,625,630,625,630,365.635742,5892500
11/21/2003,635,635,635,635,368.53772,4890000
11/24/2003,635,635,635,635,368.53772,0
11/25/2003,635,635,635,635,368.53772,0
11/26/2003,635,635,635,635,368.53772,0
11/27/2003,635,635,635,635,368.53772,0
11/28/2003,635,635,635,635,368.53772,0
12/1/2003,640,685,640,685,397.556366,56602500
12/2/2003,690,695,665,670,388.850891,38365000
12/3/2003,670,675,670,670,388.850891,11140000
12/4/2003,670,670,660,665,385.949036,2682500
12/5/2003,665,665,655,655,380.145172,5652500
12/8/2003,655,660,655,655,380.145172,6912500
12/9/2003,660,665,650,650,377.243286,14847500
12/10/2003,655,655,650,650,377.243286,6752500
12/11/2003,655,655,650,655,380.145172,4812500
12/12/2003,655,655,650,650,377.243286,1580000
12/15/2003,650,650,650,650,377.243286,9632500
12/16/2003,650,665,650,660,383.047058,28475000
12/17/2003,660,660,655,655,380.145172,8635000
12/18/2003,660,680,660,670,388.850891,34120000
12/19/2003,680,690,680,685,397.556366,31952500
12/22/2003,685,690,680,690,400.458313,7957500
12/23/2003,690,690,685,685,397.556366,3205000
12/24/2003,685,685,685,685,397.556366,0
12/25/2003,685,685,685,685,397.556366,0
12/26/2003,685,685,685,685,397.556366,0
12/29/2003,690,735,690,735,426.575226,52275000
12/30/2003,740,755,725,725,420.771576,41247500
12/31/2003,725,725,725,725,420.771576,0
1/1/2004,725,725,725,725,420.771576,0
1/2/2004,700,720,700,715,414.967743,6170000
1/5/2004,725,725,715,715,414.967743,4175000
1/6/2004,720,725,715,715,414.967743,12107500
1/7/2004,715,715,705,705,409.16394,9315000
1/8/2004,710,730,710,715,414.967743,13320000
1/9/2004,725,750,720,735,426.575226,23690000
1/12/2004,730,730,725,725,420.771576,1555000
1/13/2004,720,725,715,715,414.967743,3390000
1/14/2004,720,730,720,730,423.67334,4420000
1/15/2004,740,755,740,750,435.280823,22942500
1/16/2004,750,775,750,775,449.790192,20105000
1/19/2004,775,790,765,765,443.986389,4252500
1/20/2004,765,765,760,765,443.986389,2180000
1/21/2004,760,765,750,750,435.280823,3242500
1/22/2004,750,750,750,750,435.280823,0
1/23/2004,755,770,755,770,446.888214,5007500
1/26/2004,770,795,770,780,452.692017,18470000
1/27/2004,780,785,760,760,441.084564,9430000
1/28/2004,760,770,745,750,435.280823,10557500
1/29/2004,750,760,750,755,438.182556,4630000
1/30/2004,755,765,755,765,443.986389,4690000
2/2/2004,765,765,765,765,443.986389,0
2/3/2004,765,765,745,745,432.378937,5925000
2/4/2004,740,745,740,740,429.47702,9997500
2/5/2004,745,770,745,760,441.084564,8245000
2/6/2004,770,770,765,770,446.888214,3640000
2/9/2004,770,770,760,765,443.986389,6812500
2/10/2004,770,770,765,765,443.986389,1562500
2/11/2004,770,775,765,770,446.888214,1782500
2/12/2004,770,775,765,770,446.888214,13817500
2/13/2004,770,775,765,770,446.888214,9775000
2/16/2004,765,765,750,755,438.182556,14002500
2/17/2004,755,760,740,745,432.378937,14745000
2/18/2004,745,745,720,720,423.554871,23560000
2/19/2004,730,730,715,715,420.613464,32702500
2/20/2004,720,730,715,715,420.613464,14675000
2/23/2004,715,715,715,715,420.613464,0
2/24/2004,715,725,715,725,426.496155,13015000
2/25/2004,725,725,720,720,423.554871,6007500
2/26/2004,715,715,710,710,417.672089,14975000
2/27/2004,705,705,670,680,400.024017,83285000
3/1/2004,680,680,670,675,397.082581,22715000
3/2/2004,685,735,685,735,432.378937,81825000
3/3/2004,725,725,715,715,420.613464,7415000
3/4/2004,715,715,705,710,417.672089,6522500
3/5/2004,710,720,710,715,420.613464,8917500
3/8/2004,710,710,705,705,414.730804,4450000
3/9/2004,710,720,710,710,417.672089,2900000
3/10/2004,710,710,700,710,417.672089,20375000
3/11/2004,700,705,690,690,405.906799,8505000
3/12/2004,680,695,680,685,402.965393,4950000
3/15/2004,690,695,675,680,400.024017,7052500
3/16/2004,680,690,665,690,405.906799,16485000
3/17/2004,690,695,690,690,405.906799,10100000
3/18/2004,700,715,700,705,414.730804,12787500
3/19/2004,710,710,705,710,417.672089,1400000
3/22/2004,710,710,710,710,417.672089,0
3/23/2004,700,710,700,710,417.672089,2215000
3/24/2004,710,710,705,710,417.672089,2915000
3/25/2004,695,695,690,690,405.906799,2395000
3/26/2004,700,705,680,695,408.848114,16797500
3/29/2004,695,710,695,710,417.672089,14562500
3/30/2004,710,715,705,705,414.730804,10025000
3/31/2004,705,710,695,710,417.672089,12427500
4/1/2004,710,710,695,710,417.672089,6302500
4/2/2004,710,715,705,710,417.672089,14227500
4/5/2004,710,710,710,710,417.672089,0
4/6/2004,715,725,710,725,426.496155,18165000
4/7/2004,725,725,715,720,423.554871,10997500
4/8/2004,720,750,720,735,432.378937,64967500
4/9/2004,735,735,735,735,432.378937,0
4/12/2004,730,730,710,720,423.554871,2927500
4/13/2004,725,730,720,720,423.554871,3440000
4/14/2004,720,735,720,735,432.378937,4825000
4/15/2004,730,740,725,730,429.437653,3092500
4/16/2004,730,730,730,730,429.437653,115000
4/19/2004,730,740,725,735,432.378937,1652500
4/20/2004,735,755,735,750,441.202972,25437500
4/21/2004,750,765,745,755,444.144318,21290000
4/22/2004,755,755,740,740,435.320221,6500000
4/23/2004,750,750,730,730,429.437653,7340000
4/26/2004,725,735,725,730,429.437653,4842500
4/27/2004,730,750,730,740,435.320221,14480000
4/28/2004,740,755,740,750,441.202972,18230000
4/29/2004,750,750,730,745,438.261566,19132500
4/30/2004,735,740,725,735,432.378937,18052500
5/3/2004,735,735,735,735,432.378937,0
5/4/2004,730,735,730,735,432.378937,5155000
5/5/2004,735,735,720,720,423.554871,6250000
5/6/2004,710,730,710,725,426.496155,8950000
5/7/2004,720,725,720,720,423.554871,9715000
5/10/2004,710,710,690,700,411.789459,13150000
5/11/2004,685,735,685,730,429.437653,8595000
5/12/2004,735,755,735,745,438.261566,19930000
5/13/2004,745,765,740,750,441.202972,13287500
5/14/2004,750,755,745,745,438.261566,3255000
5/17/2004,720,730,675,675,397.082581,21637500
5/18/2004,710,710,675,705,414.730804,7160000
5/19/2004,710,730,710,710,417.672089,15312500
5/20/2004,710,710,710,710,417.672089,0
5/21/2004,715,730,715,730,429.437653,4880000
5/24/2004,730,735,725,735,432.378937,3742500
5/25/2004,735,735,710,715,420.613464,5892500
5/26/2004,720,725,715,715,420.613464,1492500
5/27/2004,725,725,720,720,423.554871,5145000
5/28/2004,720,725,720,720,423.554871,557500
5/31/2004,720,720,720,720,423.554871,462500
6/1/2004,720,725,720,725,426.496155,1572500
6/2/2004,725,730,720,730,429.437653,3520000
6/3/2004,730,730,730,730,429.437653,0
6/4/2004,715,730,715,730,429.437653,3395000
6/7/2004,725,740,725,740,435.320221,3535000
6/8/2004,735,740,735,735,432.378937,4907500
6/9/2004,730,735,730,735,432.378937,5832500
6/10/2004,735,740,735,740,435.320221,18947500
6/11/2004,735,740,735,735,432.378937,9007500
6/14/2004,735,740,735,740,435.320221,2107500
6/15/2004,735,770,735,755,444.144318,46780000
6/16/2004,760,760,755,760,447.085693,4867500
6/17/2004,755,755,750,755,444.144318,12905000
6/18/2004,740,740,725,725,426.496155,675000
6/21/2004,725,730,725,730,429.437653,3122500
6/22/2004,725,735,725,735,432.378937,2217500
6/23/2004,735,745,725,725,426.496155,22230000
6/24/2004,730,740,720,740,435.320221,35992500
6/25/2004,740,770,740,770,452.968262,44372500
6/28/2004,760,760,755,760,447.085693,2457500
6/29/2004,760,760,760,760,447.085693,1972500
6/30/2004,765,790,765,785,461.792511,28802500
7/1/2004,775,775,760,760,447.085693,3135000
7/2/2004,765,785,765,780,458.851074,1670000
7/5/2004,780,780,780,780,458.851074,0
7/6/2004,790,790,785,790,464.733887,6392500
7/7/2004,790,795,790,790,464.733887,1602500
7/8/2004,790,815,790,795,467.675171,20865000
7/9/2004,795,795,780,780,458.851074,7905000
7/12/2004,780,780,760,780,458.851074,12512500
7/13/2004,780,795,780,790,464.733887,7122500
7/14/2004,785,785,770,780,458.851074,1010000
7/15/2004,780,780,775,775,455.909729,2335000
7/16/2004,765,775,765,770,462.517059,6162500
7/19/2004,765,775,765,770,462.517059,4312500
7/20/2004,770,775,770,775,465.520355,8727500
7/21/2004,775,775,770,770,462.517059,3317500
7/22/2004,765,765,755,760,456.510315,12787500
7/23/2004,760,760,755,755,453.50705,6330000
7/26/2004,750,755,745,755,453.50705,10082500
7/27/2004,755,765,755,765,459.513702,11667500
7/28/2004,765,775,765,770,462.517059,9090000
7/29/2004,765,780,765,775,465.520355,18397500
7/30/2004,775,775,750,755,453.50705,7590000
8/2/2004,755,760,755,760,456.510315,4757500
8/3/2004,760,775,760,770,462.517059,20242500
8/4/2004,770,770,765,765,459.513702,895000
8/5/2004,760,760,755,755,453.50705,11807500
8/6/2004,755,760,755,760,456.510315,3380000
8/9/2004,755,755,735,735,441.493622,25050000
8/10/2004,740,745,735,735,441.493622,17010000
8/11/2004,740,745,740,740,444.496857,10662500
8/12/2004,740,740,730,735,441.493622,6765000
8/13/2004,730,735,725,730,438.490356,7600000
8/16/2004,730,735,725,730,438.490356,4082500
8/17/2004,730,730,730,730,438.490356,0
8/18/2004,730,730,730,730,438.490356,2385000
8/19/2004,730,730,730,730,438.490356,3735000
8/20/2004,730,730,720,725,435.486877,9902500
8/23/2004,725,725,700,710,426.476746,52545000
8/24/2004,705,705,670,680,408.456696,89327500
8/25/2004,680,680,655,660,396.443237,67630000
8/26/2004,660,675,660,665,399.446564,44447500
8/27/2004,665,675,660,675,405.453308,57067500
8/30/2004,675,680,670,675,405.453308,30070000
8/31/2004,675,675,660,670,402.44989,48860000
9/1/2004,670,685,670,680,408.456696,60320000
9/2/2004,680,685,675,685,411.459991,39575000
9/3/2004,685,700,685,700,420.470154,105085000
9/6/2004,700,700,690,690,414.463379,18507500
9/7/2004,690,690,685,690,414.463379,3895000
9/8/2004,690,695,690,695,417.466736,6352500
9/9/2004,695,695,665,680,408.456696,78287500
9/10/2004,680,695,680,690,414.463379,27110000
9/13/2004,690,690,690,690,414.463379,0
9/14/2004,695,700,690,695,417.466736,54487500
9/15/2004,695,700,695,700,420.470154,41067500
9/16/2004,695,700,690,700,420.470154,15705000
9/17/2004,700,700,685,695,417.466736,24895000
9/20/2004,695,695,695,695,417.466736,0
9/21/2004,700,700,685,690,414.463379,64120000
9/22/2004,690,690,675,680,408.456696,37510000
9/23/2004,680,680,675,680,408.456696,14410000
9/24/2004,680,680,675,680,408.456696,6175000
9/27/2004,680,680,670,670,402.44989,5282500
9/28/2004,670,670,660,660,396.443237,86492500
9/29/2004,660,660,645,650,390.436523,39232500
9/30/2004,655,660,650,650,390.436523,3395000
10/1/2004,655,660,655,660,396.443237,34215000
10/4/2004,660,670,660,665,399.446564,32537500
10/5/2004,665,665,650,650,390.436523,29297500
10/6/2004,650,650,640,650,390.436523,29042500
10/7/2004,645,645,625,630,378.422974,85812500
10/8/2004,630,630,610,625,375.419769,58560000
10/11/2004,630,645,630,630,378.422974,94077500
10/12/2004,630,640,620,625,375.419769,38895000
10/13/2004,625,630,625,630,378.422974,24415000
10/14/2004,625,635,625,625,375.419769,18317500
10/15/2004,625,630,620,625,375.419769,10190000
10/18/2004,625,630,620,630,378.422974,11337500
10/19/2004,630,630,625,625,375.419769,7260000
10/20/2004,625,630,620,625,375.419769,13197500
10/21/2004,625,625,615,625,375.419769,11512500
10/22/2004,625,640,620,640,384.42981,21572500
10/25/2004,635,640,625,635,381.426514,18767500
10/26/2004,630,640,625,640,384.42981,22250000
10/27/2004,635,635,630,635,381.426514,5595000
10/28/2004,635,645,630,645,387.432983,31102500
10/29/2004,645,665,640,655,393.439941,80342500
11/1/2004,650,660,645,660,396.443237,19962500
11/2/2004,660,665,650,650,390.436523,25735000
11/3/2004,655,655,645,655,393.439941,27620000
11/4/2004,655,655,645,650,390.436523,13997500
11/5/2004,650,655,645,650,390.436523,16117500
11/8/2004,650,650,640,640,384.42981,16682500
11/9/2004,640,645,635,640,384.42981,16957500
11/10/2004,645,650,640,650,390.436523,32262500
11/11/2004,650,655,650,655,393.439941,3727500
11/12/2004,655,655,645,650,390.436523,8370000
11/15/2004,650,650,650,650,390.436523,0
11/16/2004,650,650,650,650,390.436523,0
11/17/2004,650,650,650,650,390.436523,0
11/18/2004,650,650,650,650,390.436523,0
11/19/2004,650,650,650,650,390.436523,0
11/22/2004,650,655,650,655,393.439941,6677500
11/23/2004,655,670,650,670,402.44989,28970000
11/24/2004,670,670,650,655,393.439941,37820000
11/25/2004,655,655,640,645,387.432983,59425000
11/26/2004,645,650,640,640,384.42981,16002500
11/29/2004,650,650,645,650,390.436523,11772500
11/30/2004,650,665,650,665,399.446564,67770000
12/1/2004,665,665,655,660,396.443237,21197500
12/2/2004,655,655,645,645,395.829346,48797500
12/3/2004,650,650,645,650,398.89798,13070000
12/6/2004,650,660,650,660,405.034943,19680000
12/7/2004,655,655,650,650,398.89798,8950000
12/8/2004,650,655,650,650,398.89798,14030000
12/9/2004,650,655,645,655,401.966553,28755000
12/10/2004,650,650,640,650,398.89798,26635000
12/13/2004,650,650,640,650,398.89798,8870000
12/14/2004,650,650,635,635,389.692719,7625000
12/15/2004,640,665,640,665,408.103333,63765000
12/16/2004,665,665,655,660,405.034943,5042500
12/17/2004,660,665,660,665,408.103333,6427500
12/20/2004,660,670,660,665,408.103333,48427500
12/21/2004,670,670,665,665,408.103333,8477500
12/22/2004,665,665,660,665,408.103333,4400000
12/23/2004,665,665,660,660,405.034943,7595000
12/24/2004,660,660,660,660,405.034943,0
12/27/2004,665,670,665,665,408.103333,10717500
12/28/2004,665,670,665,670,411.171783,8210000
12/29/2004,670,670,665,670,411.171783,8532500
12/30/2004,665,665,660,660,405.034943,8420000
12/31/2004,660,660,660,660,405.034943,0
1/3/2005,665,670,665,670,411.171783,7907500
1/4/2005,670,675,665,670,411.171783,11352500
1/5/2005,665,670,665,670,411.171783,10062500
1/6/2005,665,665,660,665,408.103333,10942500
1/7/2005,665,665,660,665,408.103333,1452500
1/10/2005,660,670,660,670,411.171783,14067500
1/11/2005,665,665,660,665,408.103333,10862500
1/12/2005,665,670,665,665,408.103333,7877500
1/13/2005,665,665,665,665,408.103333,4190000
1/14/2005,665,685,665,680,417.308594,129122500
1/17/2005,685,690,680,680,417.308594,20245000
1/18/2005,680,680,670,675,414.240173,3145000
1/19/2005,675,675,675,675,414.240173,7200000
1/20/2005,675,685,675,685,420.377075,36837500
1/24/2005,680,700,680,695,426.513977,38235000
